episode,reward_ep,mean_reward,steps,n_steps_ep,time,hour_minute
1,-100,-105.0,66,66,2023-05-15 20:01:21.793251,20:1
2,-100,-143.66666666666666,151,85,2023-05-15 20:01:26.355232,20:1
3,-100,-195.25,231,146,2023-05-15 20:01:30.548851,20:1
4,-100,-210.6,327,181,2023-05-15 20:01:35.762216,20:1
5,-100,-196.33333333333334,405,224,2023-05-15 20:01:39.920088,20:1
6,-100,-186.85714285714286,501,277,2023-05-15 20:01:45.121653,20:1
7,-100,-191.625,612,335,2023-05-15 20:01:51.146336,20:1
8,-100,-196.22222222222223,714,379,2023-05-15 20:01:56.628404,20:1
9,-100,-189.2,787,408,2023-05-15 20:02:00.490915,20:2
10,-100,-191.0909090909091,883,475,2023-05-15 20:02:05.754016,20:2
11,-100,-191.08333333333334,981,506,2023-05-15 20:02:11.054500,20:2
12,-100,-203.15384615384616,1092,586,2023-05-15 20:02:18.466762,20:2
13,-100,-196.0,1199,613,2023-05-15 20:02:24.726782,20:2
14,-100,-201.33333333333334,1287,674,2023-05-15 20:02:29.921026,20:2
15,-100,-196.125,1362,688,2023-05-15 20:02:34.418796,20:2
16,-100,-196.47058823529412,1487,799,2023-05-15 20:02:41.717775,20:2
17,-100,-193.77777777777777,1548,749,2023-05-15 20:02:45.229649,20:2
18,-100,-188.52631578947367,1623,874,2023-05-15 20:02:49.599445,20:2
19,-100,-180.8,1749,875,2023-05-15 20:02:57.020822,20:2
20,-100,-180.52380952380952,1882,1007,2023-05-15 20:03:04.772547,20:3
21,-100,-179.6818181818182,1957,950,2023-05-15 20:03:09.152807,20:3
22,-100,-178.56521739130434,2085,1135,2023-05-15 20:03:16.893365,20:3
23,-100,-171.83333333333334,2198,1063,2023-05-15 20:03:23.512180,20:3
24,-100,-178.44,2315,1252,2023-05-15 20:03:30.402314,20:3
25,-100,-174.69230769230768,2438,1186,2023-05-15 20:03:37.550333,20:3
26,-100,-172.88888888888889,2555,1369,2023-05-15 20:03:44.401386,20:3
27,-100,-177.82142857142858,2627,1258,2023-05-15 20:03:48.572603,20:3
28,-100,-175.0344827586207,2713,1455,2023-05-15 20:03:53.564719,20:3
29,-100,-172.63333333333333,2832,1377,2023-05-15 20:04:00.468985,20:4
30,-100,-170.06451612903226,2922,1545,2023-05-15 20:04:05.685002,20:4
31,-100,-170.0,3043,1498,2023-05-15 20:04:12.736719,20:4
32,-100,-168.24242424242425,3146,1648,2023-05-15 20:04:18.767204,20:4
33,-100,-169.11764705882354,3277,1629,2023-05-15 20:04:26.543723,20:4
34,-100,-169.94285714285715,3395,1766,2023-05-15 20:04:33.671137,20:4
35,-100,-168.19444444444446,3468,1702,2023-05-15 20:04:37.918588,20:4
36,-100,-168.6216216216216,3577,1875,2023-05-15 20:04:44.457899,20:4
37,-100,-165.5,3719,1844,2023-05-15 20:04:52.914641,20:4
38,-100,-164.94871794871796,3844,2000,2023-05-15 20:05:00.128679,20:5
39,-100,-163.2,3930,1930,2023-05-15 20:05:05.202542,20:5
40,-100,-162.65853658536585,4083,2153,2023-05-15 20:05:14.080752,20:5
41,-100,-161.11904761904762,4185,2032,2023-05-15 20:05:20.052315,20:5
42,-100,-158.1860465116279,4285,2253,2023-05-15 20:05:25.841288,20:5
43,-100,-157.1590909090909,4419,2166,2023-05-15 20:05:33.526562,20:5
44,-100,-155.11111111111111,4538,2372,2023-05-15 20:05:40.581447,20:5
45,-100,-153.19565217391303,4697,2325,2023-05-15 20:05:49.897216,20:5
46,-100,-152.31914893617022,4791,2466,2023-05-15 20:05:55.393817,20:5
47,-100,-151.39583333333334,4917,2451,2023-05-15 20:06:02.754875,20:6
48,-100,-150.3877551020408,5058,2607,2023-05-15 20:06:11.034473,20:6
49,-100,-148.56,5192,2585,2023-05-15 20:06:18.798059,20:6
50,-100,-147.2941176470588,5320,2735,2023-05-15 20:06:26.346317,20:6
51,-100,-146.07692307692307,5427,2692,2023-05-15 20:06:32.523176,20:6
52,-100,-144.8490566037736,5508,2816,2023-05-15 20:06:37.375602,20:6
53,-100,-143.44444444444446,5609,2793,2023-05-15 20:06:43.346456,20:6
54,-100,-143.70909090909092,5734,2941,2023-05-15 20:06:50.791065,20:6
55,-100,-143.46428571428572,5920,2979,2023-05-15 20:07:01.884093,20:7
56,-100,-142.26315789473685,6140,3161,2023-05-15 20:07:14.892573,20:7
57,-100,-139.91379310344828,6257,3096,2023-05-15 20:07:21.602607,20:7
58,-100,-145.40677966101694,6435,3339,2023-05-15 20:07:32.226050,20:7
59,-100,-144.25,6515,3176,2023-05-15 20:07:36.879768,20:7
60,-100,-142.9344262295082,6586,3410,2023-05-15 20:07:41.021191,20:7
61,-100,-141.9516129032258,6655,3245,2023-05-15 20:07:45.059788,20:7
62,-100,-140.4126984126984,6740,3495,2023-05-15 20:07:50.165026,20:7
63,-100,-140.09375,6829,3334,2023-05-15 20:07:55.424796,20:7
64,-100,-139.1846153846154,6906,3572,2023-05-15 20:07:59.927286,20:7
65,-100,-139.34848484848484,7022,3450,2023-05-15 20:08:06.786252,20:8
66,-100,-138.1044776119403,7101,3651,2023-05-15 20:08:11.490555,20:8
67,-100,-136.5,7174,3523,2023-05-15 20:08:15.802675,20:8
68,-100,-135.55072463768116,7314,3791,2023-05-15 20:08:23.935562,20:8
69,-100,-135.05714285714285,7465,3674,2023-05-15 20:08:32.922441,20:8
70,-100,-134.25352112676057,7557,3883,2023-05-15 20:08:38.413028,20:8
71,-100,-134.33333333333334,7678,3795,2023-05-15 20:08:45.556821,20:8
72,-100,-132.97260273972603,7823,4028,2023-05-15 20:08:54.207793,20:8
73,-100,-132.95945945945945,7921,3893,2023-05-15 20:08:59.970583,20:8
74,-100,-131.97333333333333,8033,4140,2023-05-15 20:09:06.563252,20:9
75,-100,-131.25,8146,4006,2023-05-15 20:09:13.261736,20:9
76,-100,-130.36363636363637,8253,4247,2023-05-15 20:09:19.661944,20:9
77,-100,-129.24358974358975,8406,4159,2023-05-15 20:09:28.749195,20:9
78,-100,-128.39240506329114,8479,4320,2023-05-15 20:09:33.072047,20:9
79,-100,-127.475,8639,4319,2023-05-15 20:09:42.481841,20:9
80,-100,-126.35802469135803,8806,4487,2023-05-15 20:09:52.192848,20:9
81,-100,-125.42682926829268,8933,4446,2023-05-15 20:09:59.818082,20:9
82,-100,-124.6987951807229,9023,4577,2023-05-15 20:10:05.156850,20:10
83,-100,-123.69047619047619,9173,4596,2023-05-15 20:10:14.127723,20:10
84,-100,-122.92941176470588,9235,4639,2023-05-15 20:10:17.647182,20:10
85,-100,-123.73255813953489,9372,4733,2023-05-15 20:10:25.780713,20:10
86,-100,-122.83908045977012,9532,4799,2023-05-15 20:10:35.093071,20:10
87,-100,-122.05681818181819,9680,4881,2023-05-15 20:10:43.755022,20:10
88,-100,-120.97752808988764,9861,4980,2023-05-15 20:10:54.280553,20:10
89,-100,-119.65555555555555,9996,5016,2023-05-15 20:11:02.157111,20:11
90,-100,-118.47252747252747,10139,5123,2023-05-15 20:11:10.565212,20:11
91,-100,-117.76086956521739,10214,5091,2023-05-15 20:11:14.908208,20:11
92,-100,-116.84946236559139,10354,5263,2023-05-15 20:11:23.116607,20:11
93,-100,-115.91489361702128,10482,5219,2023-05-15 20:11:30.717166,20:11
94,-100,-114.77894736842106,10615,5396,2023-05-15 20:11:38.529379,20:11
95,-100,-113.95833333333333,10718,5322,2023-05-15 20:11:44.528610,20:11
96,-100,-112.64948453608247,10936,5614,2023-05-15 20:11:57.522256,20:11
97,-100,-111.90816326530613,11062,5448,2023-05-15 20:12:05.153363,20:12
98,-100,-111.34343434343434,11247,5799,2023-05-15 20:12:16.188725,20:12
99,-100,-110.4,11372,5573,2023-05-15 20:12:23.429238,20:12
100,-100,-109.15,11510,5937,2023-05-15 20:12:31.533936,20:12
101,-100,-107.84,11593,5656,2023-05-15 20:12:36.424914,20:12
102,-100,-104.59,11752,6096,2023-05-15 20:12:45.952690,20:12
103,-100,-102.37,11849,5753,2023-05-15 20:12:51.627188,20:12
104,-100,-101.11,12059,6306,2023-05-15 20:13:04.007532,20:13
105,-100,-100.02,12261,5955,2023-05-15 20:13:15.897831,20:13
106,-100,-99.55,12384,6429,2023-05-15 20:13:23.105909,20:13
107,-100,-97.23,12483,6054,2023-05-15 20:13:28.872975,20:13
108,-100,-96.7,12589,6535,2023-05-15 20:13:35.027389,20:13
109,-100,-94.59,12711,6176,2023-05-15 20:13:42.115249,20:13
110,-100,-92.79,12793,6617,2023-05-15 20:13:47.000313,20:13
111,-100,-89.28,12964,6347,2023-05-15 20:13:57.017283,20:13
112,-100,-88.55,13058,6711,2023-05-15 20:14:02.454994,20:14
113,-100,-85.9,13151,6440,2023-05-15 20:14:07.982651,20:14
114,0,-83.48,14151,7711,2023-05-15 20:15:08.698463,20:15
115,-100,-82.19,14270,6559,2023-05-15 20:15:15.690400,20:15
116,-100,-81.05,14332,7773,2023-05-15 20:15:19.344590,20:15
117,-100,-80.28,14465,6692,2023-05-15 20:15:27.201115,20:15
118,-100,-79.84,14618,7926,2023-05-15 20:15:36.096905,20:15
119,-100,-78.28,14700,6774,2023-05-15 20:15:40.965008,20:15
120,-100,-77.22,14779,8005,2023-05-15 20:15:45.490078,20:15
121,-100,-76.12,14898,6893,2023-05-15 20:15:52.563810,20:15
122,-100,-77.22,15205,8312,2023-05-15 20:16:10.750816,20:16
123,0,-73.09,16205,7893,2023-05-15 20:17:12.329443,20:17
124,-100,-73.74,16350,8457,2023-05-15 20:17:20.851581,20:17
125,0,-72.16,17350,8893,2023-05-15 20:18:21.312498,20:18
126,0,-67.8,18350,9457,2023-05-15 20:19:22.461257,20:19
127,-100,-67.39,18440,8983,2023-05-15 20:19:27.803367,20:19
128,0,-66.23,19440,10457,2023-05-15 20:20:28.926642,20:20
129,0,-65.13,20440,9983,2023-05-15 20:21:30.138147,20:21
130,-1,-62.98,21440,11457,2023-05-15 20:22:31.408747,20:22
131,-100,-63.06,21575,10118,2023-05-15 20:22:39.418521,20:22
132,-100,-61.11,21655,11537,2023-05-15 20:22:44.132598,20:22
133,100,-57.08,22451,10914,2023-05-15 20:23:32.404632,20:23
134,-100,-56.0,22706,11792,2023-05-15 20:23:47.545837,20:23
135,-1,-53.18,23706,11914,2023-05-15 20:24:48.318732,20:24
136,100,-50.42,24078,12164,2023-05-15 20:25:10.303583,20:25
137,0,-48.3,25078,12914,2023-05-15 20:26:11.111767,20:26
138,100,-45.52,25685,12771,2023-05-15 20:26:47.537727,20:26
139,100,-41.72,26298,13527,2023-05-15 20:27:24.539564,20:27
140,100,-38.89,27187,13660,2023-05-15 20:28:18.436259,20:28
141,-20,-37.21,28187,14527,2023-05-15 20:29:19.480908,20:29
142,100,-34.69,28809,14282,2023-05-15 20:29:57.148888,20:29
143,100,-31.81,29648,15366,2023-05-15 20:30:48.710020,20:30
144,100,-29.42,30079,14713,2023-05-15 20:31:14.511294,20:31
145,100,-27.12,31052,16339,2023-05-15 20:32:15.173135,20:32
146,0,-24.23,32052,15713,2023-05-15 20:33:15.824230,20:33
147,0,-22.16,33052,17339,2023-05-15 20:34:16.659581,20:34
148,100,-20.25,34047,16708,2023-05-15 20:35:16.853941,20:35
149,100,-17.43,34634,17926,2023-05-15 20:35:51.874080,20:35
150,1,-16.92,35634,17708,2023-05-15 20:36:53.667149,20:36
151,1,-14.49,36634,18926,2023-05-15 20:37:55.173684,20:37
152,0,-13.15,37634,18708,2023-05-15 20:38:56.750443,20:38
153,-100,-12.2,38090,19382,2023-05-15 20:39:24.128691,20:39
154,-100,-12.79,38396,19014,2023-05-15 20:39:42.533331,20:39
155,3,-12.63,39396,20382,2023-05-15 20:40:43.826874,20:40
156,100,-11.22,40338,19956,2023-05-15 20:41:43.216236,20:41
157,-100,-6.83,40505,20549,2023-05-15 20:41:52.932809,20:41
158,100,-3.97,40942,20393,2023-05-15 20:42:19.343518,20:42
159,-100,-4.78,41290,20897,2023-05-15 20:42:40.085892,20:42
160,100,-1.93,41998,21101,2023-05-15 20:43:23.423300,20:43
161,100,0.98,42743,21642,2023-05-15 20:44:08.823283,20:44
162,-100,0.59,43212,21570,2023-05-15 20:44:37.127114,20:44
163,1,3.2,44212,22642,2023-05-15 20:45:39.400836,20:45
164,-10,6.27,45212,22570,2023-05-15 20:46:41.230684,20:46
165,-100,6.15,45479,22909,2023-05-15 20:46:57.251077,20:46
166,-2,8.48,46479,23570,2023-05-15 20:47:58.450186,20:47
167,-100,9.11,46723,23153,2023-05-15 20:48:12.905813,20:48
168,-8,11.33,47723,24570,2023-05-15 20:49:14.537031,20:49
169,0,13.63,48723,24153,2023-05-15 20:50:15.384842,20:50
