Wall time,Step,Value
1687649038.4705865,381,-206.9320068359375
1687649039.0653806,728,-196.21145629882812
1687649039.79595,1135,-224.2803192138672
1687649040.444858,1487,-246.96556091308594
1687649041.1032236,1863,-226.58206176757812
1687649041.7747138,2244,-213.53396606445312
1687649042.5544934,2686,-228.69190979003906
1687649043.422584,3178,-229.8520965576172
1687649044.1228504,3576,-235.3619384765625
1687649044.752036,3932,-228.59327697753906
1687649045.4436316,4319,-218.03060913085938
1687649046.025978,4642,-214.08119201660156
1687649046.8218155,5085,-218.2622528076172
1687649047.606954,5522,-213.95364379882812
1687649048.2691467,5889,-210.6258544921875
1687649049.0253515,6306,-204.4816131591797
1687649049.6816428,6667,-201.87484741210938
1687649050.5008264,7111,-202.65243530273438
1687649051.2117682,7493,-200.12203979492188
1687649052.0395694,7936,-198.20391845703125
1687649052.7692633,8324,-196.05433654785156
1687649053.3623972,8639,-191.49749755859375
1687649054.263096,9110,-188.98670959472656
1687649054.9166324,9457,-184.86293029785156
1687649055.7486522,9902,-183.296142578125
1687649056.4205863,10260,-178.7502899169922
1687649057.3675919,10705,-173.04556274414062
1687649058.390633,11131,-165.18971252441406
1687649059.3978133,11556,-156.71083068847656
1687649060.2082515,11893,-155.09817504882812
1687649061.1918843,12307,-152.4972686767578
1687649062.2273684,12740,-143.58189392089844
1687649063.232138,13153,-137.56964111328125
1687649064.2557375,13583,-130.2519073486328
1687649065.4025228,14056,-128.32443237304688
1687649066.2221746,14393,-125.97738647460938
1687649067.0269165,14730,-121.4155044555664
1687649068.381175,15286,-114.02871704101562
1687649069.628712,15798,-112.87822723388672
1687649070.6312072,16212,-109.51151275634766
1687649071.7334647,16666,-109.0264892578125
1687649072.8004458,17107,-106.1926040649414
1687649074.04586,17607,-101.84331512451172
1687649075.328919,18071,-99.04961395263672
1687649076.3180625,18459,-95.33007049560547
1687649077.546948,18955,-90.67340850830078
1687649078.8383768,19465,-90.47750091552734
1687649080.18232,20007,-88.94503021240234
1687649081.9808006,20705,-88.4589614868164
1687649083.2753751,21230,-84.77273559570312
1687649084.6916225,21796,-84.18513488769531
1687649085.9555974,22303,-85.09259796142578
1687649087.1553009,22784,-85.19341278076172
1687649088.3715594,23269,-84.50839233398438
1687649089.6912913,23792,-82.15482330322266
1687649091.180275,24376,-82.22991180419922
1687649092.9906678,25080,-82.87548828125
1687649094.6878636,25743,-81.8619384765625
1687649096.2895954,26371,-79.30508422851562
1687649097.6693885,26917,-77.58445739746094
1687649100.340554,27891,-77.99372100830078
1687649101.8191333,28453,-77.91338348388672
1687649103.8761375,29221,-77.00118255615234
1687649105.6368787,29878,-73.52936553955078
1687649108.7237732,30945,-73.48662567138672
1687649114.9170177,32698,-73.92426300048828
1687649116.300719,33241,-72.976806640625
1687649118.6061492,34088,-72.82476806640625
1687649123.4498575,35493,-72.08384704589844
1687649128.4658499,37217,-74.14261627197266
1687649130.1395366,37874,-73.74476623535156
1687649132.2140744,38666,-72.11325073242188
1687649133.9082813,39279,-71.97734832763672
1687649135.319111,39831,-71.14125061035156
1687649136.8916755,40436,-70.79473114013672
1687649139.0062287,41180,-68.53528594970703
1687649140.7821977,41822,-68.8474349975586
1687649144.696548,43114,-66.6709976196289
1687649146.5028787,43809,-63.92667770385742
1687649151.7375796,45426,-62.207881927490234
1687649153.3446813,46041,-59.351139068603516
1687649157.0436153,47274,-57.577239990234375
1687649161.8093748,48744,-56.32272720336914
1687649166.3005402,50131,-55.80187225341797
1687649168.1906807,50868,-53.307979583740234
1687649169.8866127,51532,-51.27960968017578
1687649171.7655773,52260,-49.646263122558594
1687649176.57974,53754,-48.09770965576172
1687649178.4772563,54489,-48.48217010498047
1687649181.9095147,55639,-48.23295211791992
