Wall time,Step,Value
1687649967.3852298,368,-389.1209411621094
1687649968.2086358,826,-421.81951904296875
1687649968.866574,1196,-404.2120361328125
1687649969.5086508,1556,-427.608642578125
1687649970.1495342,1913,-415.5197448730469
1687649970.913133,2338,-398.365966796875
1687649971.623086,2734,-395.2840881347656
1687649972.322803,3124,-402.8132019042969
1687649973.0947874,3548,-393.8205871582031
1687649973.7270875,3898,-394.09637451171875
1687649974.3723295,4253,-392.2044982910156
1687649975.1859698,4704,-387.46630859375
1687649975.8553507,5068,-383.9169006347656
1687649976.4712803,5403,-381.72882080078125
1687649977.0982764,5741,-377.0798034667969
1687649977.7460706,6090,-365.47607421875
1687649978.6097865,6538,-358.2546691894531
1687649979.3794951,6908,-355.7918701171875
1687649980.0625024,7272,-355.69195556640625
1687649980.801891,7648,-351.92889404296875
1687649981.455168,7990,-344.59710693359375
1687649982.1128068,8335,-341.43994140625
1687649982.9704683,8779,-339.3664855957031
1687649983.628508,9123,-338.9343566894531
1687649984.5477414,9565,-340.55657958984375
1687649985.5617278,9990,-334.2848815917969
1687649986.4642327,10365,-331.5220947265625
1687649987.3997579,10756,-327.55938720703125
1687649988.1811361,11075,-316.65716552734375
1687649989.0224924,11422,-309.7153015136719
1687649989.926289,11787,-304.96807861328125
1687649990.8412921,12162,-299.5450134277344
1687649991.8113687,12558,-291.7373962402344
1687649992.7466042,12937,-285.6153869628906
1687649993.7005513,13326,-279.706298828125
1687649994.718077,13743,-282.1573791503906
1687649995.509912,14063,-273.1252746582031
1687649996.258314,14368,-266.4108581542969
1687649997.407687,14832,-258.36724853515625
1687649998.292607,15192,-254.4737548828125
1687649999.1697567,15544,-259.06231689453125
1687650000.1585462,15943,-256.8830261230469
1687650001.17243,16352,-251.99989318847656
1687650002.0795093,16720,-242.8636016845703
1687650003.1144052,17136,-241.89889526367188
1687650004.1542356,17551,-242.9296112060547
1687650005.3601508,18019,-241.3502960205078
1687650006.2980669,18397,-234.89361572265625
1687650007.349067,18813,-227.00198364257812
1687650008.2454925,19175,-219.6518096923828
1687650009.1215522,19526,-217.35507202148438
1687650010.1084805,19921,-206.40252685546875
1687650011.0606132,20302,-201.8123016357422
1687650012.1236575,20725,-203.75717163085938
1687650013.161294,21134,-199.8545684814453
1687650014.0504413,21484,-200.83255004882812
1687650015.1942613,21934,-197.89578247070312
1687650016.4850256,22438,-192.1268768310547
1687650017.4308343,22811,-192.09002685546875
1687650018.446346,23211,-188.31109619140625
1687650019.5278912,23625,-175.99969482421875
1687650020.6877704,24081,-176.62728881835938
1687650021.8410304,24536,-174.42730712890625
1687650022.725354,24879,-172.29800415039062
1687650023.8044012,25301,-167.35467529296875
1687650024.6255462,25622,-159.1294403076172
1687650025.6601987,26027,-155.99412536621094
1687650026.7306051,26448,-154.2803497314453
1687650027.671655,26815,-152.5045928955078
1687650028.7061317,27220,-147.86520385742188
1687650029.6385293,27582,-144.89572143554688
1687650030.6004722,27957,-141.71543884277344
1687650031.506103,28310,-142.7833709716797
1687650032.5975637,28736,-142.0194549560547
1687650033.5736725,29114,-138.30612182617188
1687650034.6944847,29545,-135.0684051513672
1687650036.3276343,30169,-136.99627685546875
1687650037.3823812,30578,-134.55401611328125
1687650038.4361584,30987,-127.41985321044922
1687650039.5534286,31404,-127.4404525756836
1687650040.516653,31775,-123.14533233642578
1687650041.3494308,32100,-120.12039184570312
1687650042.5567625,32567,-119.10997009277344
1687650043.8108122,33047,-115.22722625732422
1687650044.7213948,33399,-111.97569274902344
1687650045.5807269,33728,-110.8590087890625
1687650046.7665884,34181,-109.56379699707031
1687650047.845204,34599,-113.24700927734375
1687650048.8716276,34994,-113.7672348022461
1687650050.2495863,35518,-114.40123748779297
1687650051.2377079,35903,-114.69320678710938
1687650052.5756996,36416,-113.11827850341797
1687650053.4749124,36764,-110.0573501586914
1687650054.6186066,37201,-109.72201538085938
1687650055.5382338,37558,-108.24656677246094
1687650056.3591201,37873,-108.55955505371094
1687650057.290202,38230,-108.6094741821289
1687650058.3933399,38654,-109.55101776123047
1687650059.7444935,39175,-110.45002746582031
1687650060.5801468,39496,-108.8071060180664
1687650061.5319767,39863,-107.66094207763672
1687650062.7624414,40340,-105.09831237792969
1687650063.8370275,40750,-104.25991821289062
1687650064.817171,41131,-104.60865020751953
1687650065.9450517,41566,-104.04827117919922
1687650066.93727,41947,-102.65267944335938
1687650067.9633398,42343,-102.94693756103516
1687650068.7781272,42660,-102.42493438720703
