Wall time,Step,Value
1687698096.9778354,411,-154.77734375
1687698097.6998963,826,-160.96937561035156
1687698098.3593624,1208,-165.68695068359375
1687698099.024316,1587,-169.09744262695312
1687698099.779311,2018,-170.22296142578125
1687698100.5163605,2440,-165.7519073486328
1687698101.2860677,2874,-153.666748046875
1687698101.9607441,3258,-152.8386993408203
1687698102.6830833,3665,-146.01295471191406
1687698103.2703397,3999,-144.42271423339844
1687698104.0480967,4438,-140.94467163085938
1687698104.8483033,4887,-133.24436950683594
1687698105.5278544,5267,-132.11837768554688
1687698106.3011062,5697,-130.53427124023438
1687698107.0214295,6098,-131.01776123046875
1687698107.7985165,6529,-126.97266387939453
1687698108.4952765,6917,-123.79454040527344
1687698109.2817707,7349,-123.26139831542969
1687698109.984118,7738,-121.89297485351562
1687698110.738581,8150,-120.91876983642578
1687698111.4655373,8543,-118.91697692871094
1687698112.0436182,8859,-117.00386047363281
1687698115.2141864,10162,-114.43826293945312
1687698116.0441582,10602,-114.60125732421875
1687698116.8697608,11040,-113.01680755615234
1687698117.6416059,11446,-109.48784637451172
1687698118.4933522,11890,-106.53192138671875
1687698119.3068016,12281,-103.81513977050781
1687698120.2272367,12672,-99.40938568115234
1687698121.2712893,13107,-96.021484375
1687698122.2910762,13533,-93.8488540649414
1687698123.1581626,13899,-92.88349151611328
1687698124.212039,14337,-90.24211120605469
1687698125.1293685,14721,-87.86043548583984
1687698126.046288,15107,-85.8904037475586
1687698130.195526,16457,-85.47726440429688
1687698131.4309716,16972,-86.5374755859375
1687698132.7809932,17532,-82.69435119628906
1687698133.739823,17931,-79.27569580078125
1687698135.1418922,18505,-75.09075927734375
1687698136.1814995,18940,-73.25798797607422
1687698138.2845404,19745,-73.02896881103516
1687698143.9882636,21339,-71.10991668701172
1687698146.8016098,22286,-71.49430084228516
1687698158.3494506,25760,-70.5284652709961
1687698173.142754,29760,-69.51175689697266
1687698188.7180696,33760,-68.80559539794922
1687698204.2809541,37760,-67.9405288696289
1687698217.765076,41397,-65.81924438476562
1687698232.0703096,45397,-63.02720260620117
1687698247.1461446,49397,-60.181793212890625
1687698261.8931742,53397,-57.387447357177734
1687698273.971395,56842,-51.628421783447266
1687698285.384927,60144,-52.023197174072266
1687698297.3733246,63682,-45.685855865478516
1687698304.0369182,65770,-40.6734733581543
1687698308.304261,67210,-38.46303939819336
1687698318.7905803,70452,-26.418399810791016
1687698325.1312914,72556,-20.250844955444336
1687698333.6101384,75122,-12.904940605163574
1687698339.4520583,76890,-3.7819511890411377
1687698352.2304742,80706,5.075781345367432
1687698361.3144293,83388,12.554967880249023
1687698369.6342483,86074,22.601531982421875
1687698376.0919967,88089,32.742164611816406
1687698383.9204352,90509,39.929141998291016
1687698396.5787487,94410,47.51502990722656
1687698409.763269,98141,52.861122131347656
1687698417.4188926,100577,64.0962905883789
1687698428.259202,103658,73.73021697998047
1687698436.063746,106232,83.73017120361328
1687698443.5582068,108720,91.64495849609375
1687698448.3715801,110345,99.17186737060547
1687698453.0945902,111924,107.03050994873047
1687698462.2404227,114780,114.74093627929688
1687698466.4714801,116189,115.91939544677734
1687698471.0657043,117502,118.37073516845703
1687698475.7924323,119122,121.06915283203125
1687698481.7336051,120987,127.21211242675781
1687698485.2118819,122150,123.90957641601562
1687698493.5470653,124731,126.66674041748047
1687698500.5142114,126998,126.05965423583984
1687698510.0247324,130095,122.64613342285156
1687698517.6483903,132661,127.34749603271484
1687698527.2877228,135887,131.01637268066406
1687698533.0492165,137807,132.9311981201172
1687698540.5348842,140215,131.25730895996094
1687698547.9235613,142653,131.0340576171875
1687698555.842915,145110,130.91180419921875
1687698563.621064,147408,127.7586669921875
1687698571.366015,149773,124.49210357666016
1687698578.8095887,152182,124.6225357055664
1687698588.224152,155253,126.00104522705078
1687698598.1487973,158364,126.79281616210938
1687698604.7095928,160492,124.38343811035156
1687698611.8371286,162666,114.38109588623047
1687698622.0997982,165946,116.20914459228516
1687698627.1942844,167601,113.41897583007812
1687698636.3822377,170655,116.40546417236328
1687698642.6524036,172808,113.31105041503906
1687698646.7404475,174147,112.96634674072266
1687698647.9529686,174630,109.64366149902344
1687698652.060641,175922,105.4090576171875
1687698653.0442703,176310,102.2846450805664
1687698654.2320004,176780,102.64739227294922
1687698655.3251746,177211,98.34233093261719
1687698656.5227635,177678,98.30408477783203
1687698657.7597046,178163,92.77342987060547
1687698658.7631497,178563,81.99310302734375
1687698659.974102,179040,73.37565612792969
1687698661.053132,179463,65.16107940673828
1687698662.2139013,179922,60.536102294921875
1687698663.2955258,180341,53.097076416015625
