Wall time,Step,Value
1687661106.1492949,386,-181.9859161376953
1687661106.8080971,746,-161.47329711914062
1687661107.5231242,1140,-174.65371704101562
1687661108.3945723,1574,-166.82968139648438
1687661109.0621197,1936,-171.67933654785156
1687661109.839627,2341,-175.54986572265625
1687661110.6865857,2745,-174.70025634765625
1687661111.4192195,3117,-168.75302124023438
1687661112.256466,3501,-158.97235107421875
1687661113.1127706,3896,-154.6363983154297
1687661113.888775,4243,-147.41017150878906
1687661114.5155602,4548,-145.19644165039062
1687661115.253691,4933,-146.0137939453125
1687661116.003185,5309,-144.64047241210938
1687661116.8091702,5744,-143.2294464111328
1687661117.5814445,6151,-140.9110107421875
1687661118.2559206,6509,-137.1343231201172
1687661119.083008,6938,-132.82559204101562
1687661119.771602,7299,-130.45361328125
1687661120.532841,7683,-128.3576202392578
1687661121.370704,8109,-127.25385284423828
1687661122.2284834,8553,-124.99503326416016
1687661123.1055636,8947,-122.83583068847656
1687661124.8259044,9379,-120.69882202148438
1687661126.1920307,9770,-118.42491912841797
1687661127.3273692,10186,-113.19638061523438
1687661128.1540976,10506,-110.22359466552734
1687661129.419369,10905,-105.60091400146484
1687661131.123634,11364,-101.11298370361328
1687661132.5191102,11792,-94.77227020263672
1687661133.8123715,12270,-88.63359069824219
1687661134.6370242,12590,-85.24484252929688
1687661135.6341088,12972,-82.80716705322266
1687661139.0652895,14091,-82.0038833618164
1687661140.1698256,14518,-79.29212188720703
1687661143.8766174,15627,-78.19904327392578
1687661145.1728706,16137,-76.11619567871094
1687661146.2888498,16570,-71.89364624023438
1687661147.411292,17020,-69.88355255126953
1687661150.3796873,17983,-67.5575180053711
1687661153.1834824,18968,-65.65217590332031
1687661157.564659,20318,-67.34187316894531
1687661168.436654,23036,-67.10042572021484
1687661176.6558812,25016,-66.53852844238281
1687661193.0429225,29016,-64.53460693359375
1687661210.3290827,33016,-62.80942916870117
1687661225.6944468,37016,-61.42326736450195
1687661243.475325,41016,-61.38761901855469
1687661258.4294996,45016,-60.85350799560547
1687661274.2355876,49016,-60.04729080200195
1687661290.0062282,53016,-59.951087951660156
1687661302.0689464,56102,-59.35089874267578
1687661318.8200822,60102,-57.15697479248047
1687661333.5265913,64102,-56.38392639160156
1687661347.1351855,68102,-55.05124282836914
1687661362.2521155,72102,-53.44914245605469
1687661370.840618,74298,-50.625606536865234
1687661385.9773784,78298,-47.96123123168945
1687661400.484349,82201,-49.7511100769043
1687661417.2039979,86198,-46.525936126708984
1687661427.388769,88965,-37.14646911621094
1687661441.709918,92618,-30.098112106323242
1687661449.6332245,94926,-21.10819435119629
1687661455.515862,96731,-7.754932403564453
1687661461.2697592,98273,4.79749059677124
1687661468.2872078,99997,17.10637855529785
1687661479.5763538,102386,25.972625732421875
1687661483.346091,103464,33.37028121948242
1687661502.8773177,107464,35.77069091796875
1687661509.1227367,109019,44.22060775756836
1687661513.7710414,110214,57.77717590332031
1687661523.186531,112469,67.50135040283203
1687661530.045529,114246,80.0202865600586
1687661537.4724512,116082,89.33267211914062
1687661543.1425488,117503,101.6900405883789
1687661546.5402954,118520,112.07945251464844
1687661550.2921722,119516,122.21138763427734
1687661553.9229164,120621,133.84202575683594
1687661558.7042663,121964,142.74591064453125
1687661565.6424525,123834,153.1771240234375
1687661567.3423238,124417,154.8138885498047
1687661572.9032717,126012,157.65794372558594
1687661578.496481,127464,160.24685668945312
1687661583.2040997,128759,171.64984130859375
1687661589.4464583,130387,181.30189514160156
1687661593.5675242,131432,179.96746826171875
1687661599.1955187,133000,187.2766876220703
1687661603.2314074,134107,188.40206909179688
1687661606.6681416,135166,186.7182159423828
